platform,country,country_code,region,city
Uber,"United States",US,"Alabama","Abbeville"
Uber,"United States",US,"Alabama","Adamsville"
Uber,"United States",US,"Alabama","Adger"
Uber,"United States",US,"Alabama","Alabaster"
Uber,"United States",US,"Alabama","Albertville"
Uber,"United States",US,"Alabama","Alexander City"
Uber,"United States",US,"Alabama","Alexandria"
Uber,"United States",US,"Alabama","Aliceville"
Uber,"United States",US,"Alabama","Altoona"
Uber,"United States",US,"Alabama","Andalusia"
Uber,"United States",US,"Alabama","Anniston"
Uber,"United States",US,"Alabama","Arab"
Uber,"United States",US,"Alabama","Ardmore"
Uber,"United States",US,"Alabama","Ashford"
Uber,"United States",US,"Alabama","Ashville"
Uber,"United States",US,"Alabama","Athens"
Uber,"United States",US,"Alabama","Atmore"
Uber,"United States",US,"Alabama","Attalla"
Uber,"United States",US,"Alabama","Auburn"
Uber,"United States",US,"Alabama","Autaugaville"
Uber,"United States",US,"Alabama","Axis"
Uber,"United States",US,"Alabama","Bay Minette"
Uber,"United States",US,"Alabama","Bayou La Batre"
Uber,"United States",US,"Alabama","Bessemer"
Uber,"United States",US,"Alabama","Birmingham"
Uber,"United States",US,"Alabama","Blountsville"
Uber,"United States",US,"Alabama","Boaz"
Uber,"United States",US,"Alabama","Brighton"
Uber,"United States",US,"Alabama","Brookwood"
Uber,"United States",US,"Alabama","Brundidge"
Uber,"United States",US,"Alabama","Bucks"
Uber,"United States",US,"Alabama","Calera"
Uber,"United States",US,"Alabama","Camp Hill"
Uber,"United States",US,"Alabama","Carbon Hill"
Uber,"United States",US,"Alabama","Carrollton"
Uber,"United States",US,"Alabama","Center Point"
Uber,"United States",US,"Alabama","Centre"
Uber,"United States",US,"Alabama","Centreville"
Uber,"United States",US,"Alabama","Chelsea"
Uber,"United States",US,"Alabama","Chickasaw"
Uber,"United States",US,"Alabama","Childersburg"
Uber,"United States",US,"Alabama","Chunchula"
Uber,"United States",US,"Alabama","Citronelle"
Uber,"United States",US,"Alabama","Clanton"
Uber,"United States",US,"Alabama","Cleveland"
Uber,"United States",US,"Alabama","Coaling"
Uber,"United States",US,"Alabama","Coker"
Uber,"United States",US,"Alabama","Columbia"
Uber,"United States",US,"Alabama","Columbiana"
Uber,"United States",US,"Alabama","Columbus"
Uber,"United States",US,"Alabama","Coosada"
Uber,"United States",US,"Alabama","Cordova"
Uber,"United States",US,"Alabama","Cottondale"
Uber,"United States",US,"Alabama","Cottonwood"
Uber,"United States",US,"Alabama","Courtland"
Uber,"United States",US,"Alabama","Cowarts"
Uber,"United States",US,"Alabama","Creola"
Uber,"United States",US,"Alabama","Cullman"
Uber,"United States",US,"Alabama","Cusseta"
Uber,"United States",US,"Alabama","Dadeville"
Uber,"United States",US,"Alabama","Daleville"
Uber,"United States",US,"Alabama","Daphne"
Uber,"United States",US,"Alabama","Dauphin Island"
Uber,"United States",US,"Alabama","Deatsville"
Uber,"United States",US,"Alabama","Decatur"
Uber,"United States",US,"Alabama","Demopolis"
Uber,"United States",US,"Alabama","Dora"
Uber,"United States",US,"Alabama","Dothan"
Uber,"United States",US,"Alabama","Elba"
Uber,"United States",US,"Alabama","Elberta"
Uber,"United States",US,"Alabama","Elkmont"
Uber,"United States",US,"Alabama","Elmore"
Uber,"United States",US,"Alabama","Enterprise"
Uber,"United States",US,"Alabama","Epes"
Uber,"United States",US,"Alabama","Eufaula"
Uber,"United States",US,"Alabama","Eutaw"
Uber,"United States",US,"Alabama","Evergreen"
Uber,"United States",US,"Alabama","Fairfield"
Uber,"United States",US,"Alabama","Fairhope"
Uber,"United States",US,"Alabama","Falkville"
Uber,"United States",US,"Alabama","Fayette"
Uber,"United States",US,"Alabama","Florence"
Uber,"United States",US,"Alabama","Foley"
Uber,"United States",US,"Alabama","Fort Payne"
Uber,"United States",US,"Alabama","Fultondale"
Uber,"United States",US,"Alabama","Gadsden"
Uber,"United States",US,"Alabama","Gardendale"
Uber,"United States",US,"Alabama","Geneva"
Uber,"United States",US,"Alabama","Glencoe"
Uber,"United States",US,"Alabama","Gordo"
Uber,"United States",US,"Alabama","Grand Bay"
Uber,"United States",US,"Alabama","Graysville"
Uber,"United States",US,"Alabama","Greenville"
Uber,"United States",US,"Alabama","Gulf Shores"
Uber,"United States",US,"Alabama","Guntersville"
Uber,"United States",US,"Alabama","Gurley"
Uber,"United States",US,"Alabama","Hanceville"
Uber,"United States",US,"Alabama","Harpersville"
Uber,"United States",US,"Alabama","Hartford"
Uber,"United States",US,"Alabama","Hartselle"
Uber,"United States",US,"Alabama","Harvest"
Uber,"United States",US,"Alabama","Hayneville"
Uber,"United States",US,"Alabama","Hazel Green"
Uber,"United States",US,"Alabama","Headland"
Uber,"United States",US,"Alabama","Heflin"
Uber,"United States",US,"Alabama","Helena"
Uber,"United States",US,"Alabama","Hokes Bluff"
Uber,"United States",US,"Alabama","Holly Pond"
Uber,"United States",US,"Alabama","Hollywood"
Uber,"United States",US,"Alabama","Hoover"
Uber,"United States",US,"Alabama","Horton"
Uber,"United States",US,"Alabama","Huntsville"
Uber,"United States",US,"Alabama","Indian Springs"
Uber,"United States",US,"Alabama","Irondale"
Uber,"United States",US,"Alabama","Jackson"
Uber,"United States",US,"Alabama","Jacksonville"
Uber,"United States",US,"Alabama","Jasper"
Uber,"United States",US,"Alabama","Jemison"
Uber,"United States",US,"Alabama","Killen"
Uber,"United States",US,"Alabama","Kimberly"
Uber,"United States",US,"Alabama","Kinsey"
Uber,"United States",US,"Alabama","Lafayette"
Uber,"United States",US,"Alabama","Lake View"
Uber,"United States",US,"Alabama","Lanett"
Uber,"United States",US,"Alabama","Leeds"
Uber,"United States",US,"Alabama","Leesburg"
Uber,"United States",US,"Alabama","Leighton"
Uber,"United States",US,"Alabama","Level Plains"
Uber,"United States",US,"Alabama","Lexington"
Uber,"United States",US,"Alabama","Lillian"
Uber,"United States",US,"Alabama","Lincoln"
Uber,"United States",US,"Alabama","Livingston"
Uber,"United States",US,"Alabama","Locust Fork"
Uber,"United States",US,"Alabama","Lowndesboro"
Uber,"United States",US,"Alabama","Loxley"
Uber,"United States",US,"Alabama","Lynn"
Uber,"United States",US,"Alabama","Madison"
Uber,"United States",US,"Alabama","Magnolia Springs"
Uber,"United States",US,"Alabama","Maplesville"
Uber,"United States",US,"Alabama","Marbury"
Uber,"United States",US,"Alabama","Maylene"
Uber,"United States",US,"Alabama","Meridianville"
Uber,"United States",US,"Alabama","Midfield"
Uber,"United States",US,"Alabama","Midland City"
Uber,"United States",US,"Alabama","Millbrook"
Uber,"United States",US,"Alabama","Mobile"
Uber,"United States",US,"Alabama","Montevallo"
Uber,"United States",US,"Alabama","Montgomery"
Uber,"United States",US,"Alabama","Moody"
Uber,"United States",US,"Alabama","Mooresville"
Uber,"United States",US,"Alabama","Morris"
Uber,"United States",US,"Alabama","Moulton"
Uber,"United States",US,"Alabama","Moundville"
Uber,"United States",US,"Alabama","Mount Olive"
Uber,"United States",US,"Alabama","Mount Vernon"
Uber,"United States",US,"Alabama","Mountain Brk"
Uber,"United States",US,"Alabama","Mulga"
Uber,"United States",US,"Alabama","Munford"
Uber,"United States",US,"Alabama","Muscle Shoals"
Uber,"United States",US,"Alabama","New Brockton"
Uber,"United States",US,"Alabama","New Hope"
Uber,"United States",US,"Alabama","New Market"
Uber,"United States",US,"Alabama","Newton"
Uber,"United States",US,"Alabama","Newville"
Uber,"United States",US,"Alabama","Northport"
